"REF_DATE","GEO","DGUID","Month of death","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991","New Brunswick, place of residence","2021A000213","Month of death, April","Percentage of deaths","Percentage","242","units","0","v21216443","5.5.2","8.6","","","","1"
"1991","New Brunswick, place of residence","2021A000213","Month of death, May","Number of deaths","Number","223","units","0","v21216444","5.6.1","496","","","","0"
"1991","New Brunswick, place of residence","2021A000213","Month of death, May","Percentage of deaths","Percentage","242","units","0","v21216445","5.6.2","9.1","","","","1"
"1991","New Brunswick, place of residence","2021A000213","Month of death, June","Number of deaths","Number","223","units","0","v21216446","5.7.1","421","","","","0"
"1991","New Brunswick, place of residence","2021A000213","Month of death, June","Percentage of deaths","Percentage","242","units","0","v21216447","5.7.2","7.7","","","","1"
"1991","New Brunswick, place of residence","2021A000213","Month of death, July","Number of deaths","Number","223","units","0","v21216448","5.8.1","465","","","","0"
"1991","New Brunswick, place of residence","2021A000213","Month of death, July","Percentage of deaths","Percentage","242","units","0","v21216449","5.8.2","8.5","","","","1"
"1991","New Brunswick, place of residence","2021A000213","Month of death, August","Number of deaths","Number","223","units","0","v21216450","5.9.1","421","","","","0"
"1991","New Brunswick, place of residence","2021A000213","Month of death, August","Percentage of deaths","Percentage","242","units","0","v21216451","5.9.2","7.7","","","","1"
"1991","New Brunswick, place of residence","2021A000213","Month of death, September","Number of deaths","Number","223","units","0","v21216452","5.10.1","422","","","","0"
"1991","New Brunswick, place of residence","2021A000213","Month of death, September","Percentage of deaths","Percentage","242","units","0","v21216453","5.10.2","7.7","","","","1"
"1991","New Brunswick, place of residence","2021A000213","Month of death, October","Number of deaths","Number","223","units","0","v21216454","5.11.1","420","","","","0"
"1991","New Brunswick, place of residence","2021A000213","Month of death, October","Percentage of deaths","Percentage","242","units","0","v21216455","5.11.2","7.7","","","","1"
"1991","New Brunswick, place of residence","2021A000213","Month of death, November","Number of deaths","Number","223","units","0","v21216456","5.12.1","462","","","","0"
"1991","New Brunswick, place of residence","2021A000213","Month of death, November","Percentage of deaths","Percentage","242","units","0","v21216457","5.12.2","8.4","","","","1"
"1991","New Brunswick, place of residence","2021A000213","Month of death, December","Number of deaths","Number","223","units","0","v21216458","5.13.1","501","","","","0"
"1991","New Brunswick, place of residence","2021A000213","Month of death, December","Percentage of deaths","Percentage","242","units","0","v21216459","5.13.2","9.2","","","","1"
"1991","Quebec, place of residence","2021A000224","Total, month of death","Number of deaths","Number","223","units","0","v21216460","6.1.1","49121","","","","0"
"1991","Quebec, place of residence","2021A000224","Total, month of death","Percentage of deaths","Percentage","242","units","0","v21216461","6.1.2","100.0","","","","1"
"1991","Quebec, place of residence","2021A000224","Month of death, January","Number of deaths","Number","223","units","0","v21216462","6.2.1","4480","","","","0"
"1991","Quebec, place of residence","2021A000224","Month of death, January","Percentage of deaths","Percentage","242","units","0","v21216463","6.2.2","9.1","","","","1"
"1991","Quebec, place of residence","2021A000224","Month of death, February","Number of deaths","Number","223","units","0","v21216464","6.3.1","4090","","","","0"
"1991","Quebec, place of residence","2021A000224","Month of death, February","Percentage of deaths","Percentage","242","units","0","v21216465","6.3.2","8.3","","","","1"
"1991","Quebec, place of residence","2021A000224","Month of death, March","Number of deaths","Number","223","units","0","v21216466","6.4.1","4225","","","","0"
"1991","Quebec, place of residence","2021A000224","Month of death, March","Percentage of deaths","Percentage","242","units","0","v21216467","6.4.2","8.6","","","","1"
"1991","Quebec, place of residence","2021A000224","Month of death, April","Number of deaths","Number","223","units","0","v21216468","6.5.1","3971","","","","0"
"1991","Quebec, place of residence","2021A000224","Month of death, April","Percentage of deaths","Percentage","242","units","0","v21216469","6.5.2","8.1","","","","1"
"1991","Quebec, place of residence","2021A000224","Month of death, May","Number of deaths","Number","223","units","0","v21216470","6.6.1","4144","","","","0"
"1991","Quebec, place of residence","2021A000224","Month of death, May","Percentage of deaths","Percentage","242","units","0","v21216471","6.6.2","8.4","","","","1"
"1991","Quebec, place of residence","2021A000224","Month of death, June","Number of deaths","Number","223","units","0","v21216472","6.7.1","3879","","","","0"
"1991","Quebec, place of residence","2021A000224","Month of death, June","Percentage of deaths","Percentage","242","units","0","v21216473","6.7.2","7.9","","","","1"
"1991","Quebec, place of residence","2021A000224","Month of death, July","Number of deaths","Number","223","units","0","v21216474","6.8.1","3956","","","","0"
"1991","Quebec, place of residence","2021A000224","Month of death, July","Percentage of deaths","Percentage","242","units","0","v21216475","6.8.2","8.1","","","","1"
"1991","Quebec, place of residence","2021A000224","Month of death, August","Number of deaths","Number","223","units","0","v21216476","6.9.1","3754","","","","0"
"1991","Quebec, place of residence","2021A000224","Month of death, August","Percentage of deaths","Percentage","242","units","0","v21216477","6.9.2","7.6","","","","1"
"1991","Quebec, place of residence","2021A000224","Month of death, September","Number of deaths","Number","223","units","0","v21216478","6.10.1","3654","","","","0"
"1991","Quebec, place of residence","2021A000224","Month of death, September","Percentage of deaths","Percentage","242","units","0","v21216479","6.10.2","7.4","","","","1"
"1991","Quebec, place of residence","2021A000224","Month of death, October","Number of deaths","Number","223","units","0","v21216480","6.11.1","4102","","","","0"
"1991","Quebec, place of residence","2021A000224","Month of death, October","Percentage of deaths","Percentage","242","units","0","v21216481","6.11.2","8.4","","","","1"
"1991","Quebec, place of residence","2021A000224","Month of death, November","Number of deaths","Number","223","units","0","v21216482","6.12.1","3985","","","","0"
"1991","Quebec, place of residence","2021A000224","Month of death, November","Percentage of deaths","Percentage","242","units","0","v21216483","6.12.2","8.1","","","","1"
"1991","Quebec, place of residence","2021A000224","Month of death, December","Number of deaths","Number","223","units","0","v21216484","6.13.1","4881","","","","0"
"1991","Quebec, place of residence","2021A000224","Month of death, December","Percentage of deaths","Percentage","242","units","0","v21216485","6.13.2","9.9","","","","1"
"1991","Ontario, place of residence","2021A000235","Total, month of death","Number of deaths","Number","223","units","0","v21216486","7.1.1","72917","","","","0"
"1991","Ontario, place of residence","2021A000235","Total, month of death","Percentage of deaths","Percentage","242","units","0","v21216487","7.1.2","100.0","","","","1"
"1991","Ontario, place of residence","2021A000235","Month of death, January","Number of deaths","Number","223","units","0","v21216488","7.2.1","6542","","","","0"
"1991","Ontario, place of residence","2021A000235","Month of death, January","Percentage of deaths","Percentage","242","units","0","v21216489","7.2.2","9.0","","","","1"
"1991","Ontario, place of residence","2021A000235","Month of death, February","Number of deaths","Number","223","units","0","v21216490","7.3.1","5694","","","","0"
"1991","Ontario, place of residence","2021A000235","Month of death, February","Percentage of deaths","Percentage","242","units","0","v21216491","7.3.2","7.8","","","","1"
"1991","Ontario, place of residence","2021A000235","Month of death, March","Number of deaths","Number","223","units","0","v21216492","7.4.1","6357","","","","0"
"1991","Ontario, place of residence","2021A000235","Month of death, March","Percentage of deaths","Percentage","242","units","0","v21216493","7.4.2","8.7","","","","1"
"1991","Ontario, place of residence","2021A000235","Month of death, April","Number of deaths","Number","223","units","0","v21216494","7.5.1","5906","","","","0"
"1991","Ontario, place of residence","2021A000235","Month of death, April","Percentage of deaths","Percentage","242","units","0","v21216495","7.5.2","8.1","","","","1"
"1991","Ontario, place of residence","2021A000235","Month of death, May","Number of deaths","Number","223","units","0","v21216496","7.6.1","6010","","","","0"
"1991","Ontario, place of residence","2021A000235","Month of death, May","Percentage of deaths","Percentage","242","units","0","v21216497","7.6.2","8.2","","","","1"
"1991","Ontario, place of residence","2021A000235","Month of death, June","Number of deaths","Number","223","units","0","v21216498","7.7.1","5717","","","","0"
"1991","Ontario, place of residence","2021A000235","Month of death, June","Percentage of deaths","Percentage","242","units","0","v21216499","7.7.2","7.8","","","","1"
"1991","Ontario, place of residence","2021A000235","Month of death, July","Number of deaths","Number","223","units","0","v21216500","7.8.1","5856","","","","0"
"1991","Ontario, place of residence","2021A000235","Month of death, July","Percentage of deaths","Percentage","242","units","0","v21216501","7.8.2","8.0","","","","1"
"1991","Ontario, place of residence","2021A000235","Month of death, August","Number of deaths","Number","223","units","0","v21216502","7.9.1","5767","","","","0"
"1991","Ontario, place of residence","2021A000235","Month of death, August","Percentage of deaths","Percentage","242","units","0","v21216503","7.9.2","7.9","","","","1"
"1991","Ontario, place of residence","2021A000235","Month of death, September","Number of deaths","Number","223","units","0","v21216504","7.10.1","5764","","","","0"
"1991","Ontario, place of residence","2021A000235","Month of death, September","Percentage of deaths","Percentage","242","units","0","v21216505","7.10.2","7.9","","","","1"
"1991","Ontario, place of residence","2021A000235","Month of death, October","Number of deaths","Number","223","units","0","v21216506","7.11.1","6124","","","","0"
"1991","Ontario, place of residence","2021A000235","Month of death, October","Percentage of deaths","Percentage","242","units","0","v21216507","7.11.2","8.4","","","","1"
"1991","Ontario, place of residence","2021A000235","Month of death, November","Number of deaths","Number","223","units","0","v21216508","7.12.1","6203","","","","0"
"1991","Ontario, place of residence","2021A000235","Month of death, November","Percentage of deaths","Percentage","242","units","0","v21216509","7.12.2","8.5","","","","1"
"1991","Ontario, place of residence","2021A000235","Month of death, December","Number of deaths","Number","223","units","0","v21216510","7.13.1","6977","","","","0"
"1991","Ontario, place of residence","2021A000235","Month of death, December","Percentage of deaths","Percentage","242","units","0","v21216511","7.13.2","9.6","","","","1"
"1991","Manitoba, place of residence","2021A000246","Total, month of death","Number of deaths","Number","223","units","0","v21216512","8.1.1","8943","","","","0"
"1991","Manitoba, place of residence","2021A000246","Total, month of death","Percentage of deaths","Percentage","242","units","0","v21216513","8.1.2","100.0","","","","1"
"1991","Manitoba, place of residence","2021A000246","Month of death, January","Number of deaths","Number","223","units","0","v21216514","8.2.1","746","","","","0"
"1991","Manitoba, place of residence","2021A000246","Month of death, January","Percentage of deaths","Percentage","242","units","0","v21216515","8.2.2","8.3","","","","1"
"1991","Manitoba, place of residence","2021A000246","Month of death, February","Number of deaths","Number","223","units","0","v21216516","8.3.1","703","","","","0"
"1991","Manitoba, place of residence","2021A000246","Month of death, February","Percentage of deaths","Percentage","242","units","0","v21216517","8.3.2","7.9","","","","1"
"1991","Manitoba, place of residence","2021A000246","Month of death, March","Number of deaths","Number","223","units","0","v21216518","8.4.1","749","","","","0"
"1991","Manitoba, place of residence","2021A000246","Month of death, March","Percentage of deaths","Percentage","242","units","0","v21216519","8.4.2","8.4","","","","1"
"1991","Manitoba, place of residence","2021A000246","Month of death, April","Number of deaths","Number","223","units","0","v21216520","8.5.1","726","","","","0"
"1991","Manitoba, place of residence","2021A000246","Month of death, April","Percentage of deaths","Percentage","242","units","0","v21216521","8.5.2","8.1","","","","1"
"1991","Manitoba, place of residence","2021A000246","Month of death, May","Number of deaths","Number","223","units","0","v21216522","8.6.1","750","","","","0"
"1991","Manitoba, place of residence","2021A000246","Month of death, May","Percentage of deaths","Percentage","242","units","0","v21216523","8.6.2","8.4","","","","1"
"1991","Manitoba, place of residence","2021A000246","Month of death, June","Number of deaths","Number","223","units","0","v21216524","8.7.1","673","","","","0"
"1991","Manitoba, place of residence","2021A000246","Month of death, June","Percentage of deaths","Percentage","242","units","0","v21216525","8.7.2","7.5","","","","1"
"1991","Manitoba, place of residence","2021A000246","Month of death, July","Number of deaths","Number","223","units","0","v21216526","8.8.1","732","","","","0"
"1991","Manitoba, place of residence","2021A000246","Month of death, July","Percentage of deaths","Percentage","242","units","0","v21216527","8.8.2","8.2","","","","1"
"1991","Manitoba, place of residence","2021A000246","Month of death, August","Number of deaths","Number","223","units","0","v21216528","8.9.1","731","","","","0"
"1991","Manitoba, place of residence","2021A000246","Month of death, August","Percentage of deaths","Percentage","242","units","0","v21216529","8.9.2","8.2","","","","1"
"1991","Manitoba, place of residence","2021A000246","Month of death, September","Number of deaths","Number","223","units","0","v21216530","8.10.1","739","","","","0"
